IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
174.138.185.242 | 245B9WFHUGuWycSXHagHXwsXGcxDkNYfxWBaeh7vAHDU | 8001   | 8004  | 8010     | none                  | 3.0.10  | 3604001754
46.166.162.139  | WUNoB9YQXmXXRcJsjY1G8PfVag5aAfnyGmFd6YwJVwp  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
66.245.194.149  | FwnWx7x99rGwLmipzz8ii15NqcHkKRo2oS1Y7j6LivgZ | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
185.111.180.3   | AzsQN6KYwFts2SZLAUJZAeKdkVTLKst8YswFbNBmkd53 | 15001  | 15003 | 15009    | none                  | 2.3.5   | 3640012085
5.135.122.2     | DvMz5PueP1zL8h3U4adxxCLqwPcBRg4eQTqnCvZJ4U1x | 8001   | 8004  | 8010     | none                  | 3.0.8   | 3604001754
188.214.130.164 | CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2 | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
177.54.159.47   | SLAY6uN1zZpXBTfbuDDCesNmM5D288xrz8uYvfS3n41  | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
193.243.164.211 | 9pBHfuE19q7PRbupJf8CZAMwv6RHjasdyMN9U9du7Nx2 | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
216.238.66.234  | CARBN9PY1Qej1aCg4885pfoYH8EHfjWuMy59pVa48ky  | 8000   | 8003  | 8009     | 216.238.66.234:8899   | 3.0.10  | 3604001754
185.191.117.158 | SPHERExTW7GaMgS4RN6MbghYvXU2REfFWHgpxMH1P69  | 8015   | 8018  | 8024     | none                  | 3.0.6   | 3604001754
195.14.6.38     | 3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6 | 8001   | 8004  | 8010     | 195.14.6.38:8899      | 3.0.10  | 3604001754
84.32.71.239    | 5aD6KB8g4MPt3xJafmMmun86hHMDnoFiGbd5gYiMFZw7 | 8401   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
169.150.223.12  | LeDbQ99QT342j9S5YdyXLrsq2Gu3T3dMGajExdAuE3V  | 8001   | 11222 | 11228    | none                  | 3.0.8   | 3604001754
45.250.254.231  | Spiky3mMSLHGhffuEhYR7ptMNZ8NddddwrTjki4VhWk  | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
38.244.189.117  | GQiWnDYrzHMALWG9avt5FCu1wisAQHjGY5ve7GMBiPEe | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
91.237.141.128  | LunaowJnt875WWoqDkhHhE93SNYHa6tfFNVn1rqc57c  | 8001   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
62.197.45.149   | ChB6C6dmNujAi79XtQLPKLL5SWdNLMShA7KKnrMMFF52 | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
103.14.27.39    | pineXRUnbaLNFMxaM3zBmFfTiKgQMGqT9jYHXZWq2Fw  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
64.31.54.67     | DztvB32ejUNiUWqFadpKzfDHR6Aep8YbvZF87NWTnUxv | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
185.234.13.10   | Hqvmc5e2tmnMnRCBi6hAFpAnZZigBmm24ntcV5aEkVEJ | 8000   | 8003  | 8009     | none                  | 2.3.10  | 2142755730
5.199.164.220   | 5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK | 8000   | 8003  | 8009     | 5.199.164.220:8899    | 3.0.10  | 3604001754
103.167.235.222 | 8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw | 8000   | 5004  | 5010     | none                  | 3.0.10  | 3604001754
84.32.97.6      | 8j7RdaofeR9jaXWqYTubqooHpcajP7EfhWbR4UKUB4fF | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
5.199.172.178   | 6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
104.238.188.36  | VicAQ3U2GjjAuF3tPCtEQZdZKnpAAxkr5Q3zjDKmdo7  | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
70.34.247.7     | EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W | 8000   | 11222 | 11228    | none                  | 3.0.7   | 3604001754
208.91.110.219  | HT41udB8mLZZf7tev9tUoHYJ41TP8GWZ6zFMbjiviXk5 | 8901   | 8002  | 8008     | 208.91.110.219:8899   | 3.0.7   | 3604001754
84.32.186.206   | DYTJyMUYucoia2sRELgdegTrZS9mpyyiJ6DPn4MUMeva | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
64.130.43.198   | 3fpcsJ2WPdrmpjVVA5Lmv4m9Qx5xqND1xJhFprDSjWJ4 | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
93.123.72.201   | SELEXm1aELCweknS2tsG6A4WivjVvgrTWn9doHNLj66  | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
45.63.89.22     | 2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
63.178.233.16   | BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd | 8000   | 8003  | 8009     | 63.178.233.16:8899    | 3.0.6   | 3604001754
47.254.184.251  | 78sEMVmeecStjxWU7XMJMH8bMRBW9vSiEAhAjtZbt3fW | 8001   | 8004  | 8010     | none                  | 3.0.7   | 3604001754
86.105.224.21   | ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6 | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
64.130.42.204   | J4Aw8KDh4GKHm9WvGaFbpDefNkqZkh8fvMC2GCuhPsv8 | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
195.12.228.206  | spur5CDwBvTZszvy1ozGjRc1x2TuDWo3VF4jrq7zgvD  | 8000   | 8003  | 8009     | none                  | 2.3.9   | 2142755730
64.130.42.80    | vvvvbtDs9HsdsE6NskZMnb1RA6muoud1ChQuiF9QhSM  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
185.191.116.232 | sCANXAaS1a7yB8jz3USvGNLfd8DSc9r7TNzNSKKPkfY  | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
46.21.152.138   | 9U4WqNGVywKt3gG9HSt9tGVXBDXJvgid6BVweRysaJmg | 9000   | 5004  | 5010     | none                  | 3.0.10  | 3604001754
64.130.41.40    | bonkcbAQvHpYWxEG63E8ufTB1cxkkk9eAKaPdGePE88  | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
67.213.127.33   | hxMhrsuGPDmkLJ4mTxEjyeMST3VGhTiwJvS9XgHwePj  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
147.28.165.11   | 2374M8ZtmrpdY3ywb7fLqokSd2mRhvdJu2PUwoJmbTUh | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
177.54.159.49   | A8xmHz9tmMUGRTJSiE83G3Md2sTFJgLmRZdtLNoauBQM | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
83.143.83.238   | Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh  | 8001   | 5004  | 5010     | none                  | 3.0.10  | 3604001754
45.152.160.157  | 7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
195.12.228.203  | RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz  | 8001   | 9001  | 9007     | 195.12.228.203:8899   | 0.712.30006| 3604001754
84.32.186.46    | GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
103.14.27.33    | gotasRuLTuJNZDtLHmaDJpEUjCWZqkHcuwbLhkgCwCX  | 8000   | 8003  | 8009     | 103.14.27.33:8899     | 3.0.10  | 3604001754
64.130.52.158   | 7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
64.130.42.172   | Cayzy3AWZfUK4MpBvdEEJRdJY7tE95EAMLzGauuyHcg1 | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
134.65.192.69   | DHtQC4FPAQrPvppej6SvKb5BhVe11kFmrTHmUSKp5o1X | 8001   | 8004  | 8010     | none                  | 3.0.8   | 3604001754
82.197.162.50   | SP9K2c8Z1aaQaqdQgC6hZMJ5UCTTnE76XNYVse7H94b  | 8000   | 8003  | 8009     | 82.197.162.50:8899    | 3.0.10  | 3604001754
66.165.233.102  | uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk  | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
69.67.148.123   | mythxvB89eT3C1TKwwhsvdHfYq2aoCt2es8vLoDFYyk  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
185.191.117.72  | HwRia5HUmQcvundpC6iFqwfK4iVNKRSmYm1NKsrMkZBC | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
198.13.130.71   | 9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7 | 8000   | 8003  | 8009     | 198.13.130.71:8899    | 3.0.6   | 3604001754
64.130.40.59    | 9ueKvL3WiLM4mNUZrfWqPTYY2Np5YwzFTYvAiPibx1Zq | 8003   | 8012  | 8018     | none                  | 3.0.7   | 3604001754
217.170.192.106 | C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx | 8001   | 8004  | 8010     | none                  | 2.3.6   | 3640012085
89.44.211.18    | HSX42dhQPTaVjtwMQXwGTCobrs1HnxZ8G2J6JTnPXpgP | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
62.113.194.251  | omegahqefiV3bcrbwwx654NqiMrLVwDiewqnqekpNgo  | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
195.12.228.205  | RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM  | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
103.14.27.97    | DefiihS7gLkj6xLjjhcr87bFuwpVVNYpeNBaBeFe56CY | 8000   | 8003  | 8009     | 103.14.27.97:8899     | 3.0.10  | 3604001754
185.26.11.167   | hnhCMmnrmod4rcyc3QRKkLEC9XnPTvYJ2gBvjgFiV4o  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
198.73.56.216   | rubyWZkfnjG716rx69n2oCAhevVZaMRQunir9VQcY2E  | 8001   | 9001  | 9007     | none                  | 0.712.30006| 3604001754
